incident_id,user_id,Incident_Description,Root_Cause,Resolution,Solution,Business_Impact,Subcategory_Id,created_at,updated_at,severity
13845204,3,"User reported Slow Page Load issue causing client dissatisfaction, impacting user satisfaction and business operations.","User reported Slow Page Load issue causing business disruption, impacting user satisfaction and business operations.",Error reported in Slow Page Load: data corruption. Impact on service reliability observed.,Error reported in Slow Page Load: high latency. Impact on end-user experience observed.,Minimal impact caused by unauthorized access in Slow Page Load.,101,2024-10-24 07:57:34,,Low
16621578,2,"System encountered failed API calls in Server Downtime, resulting in service inconsistency.",Error reported in Server Downtime: failed API calls. Impact on service reliability observed.,"Performance degradation observed in Server Downtime with high CPU usage, requiring immediate attention.","Performance degradation observed in Server Downtime with high CPU usage, requiring immediate attention.",Moderate disruption observed in Server Downtime due to unauthorized access.,102,2024-10-28 06:57:35,2024-10-15 20:04:51,Medium
80531110,3,"System encountered failed API calls in High Response Time, resulting in revenue loss.","User reported High Response Time issue causing service inconsistency, impacting user satisfaction and business operations.","Service disruption in High Response Time due to service downtime, leading to client dissatisfaction.","Operational downtime in High Response Time traced to network misconfiguration, causing revenue loss.",Critical issue in High Response Time causing service inconsistency.,103,2024-10-19 16:45:56,2024-10-18 17:32:22,High
36761274,6,"Performance degradation observed in CDN Issues with 99.9% failure rate, requiring immediate attention.",Error reported in CDN Issues: data corruption. Impact on end-user experience observed.,Error reported in CDN Issues: failed API calls. Impact on critical operations observed.,"Service disruption in CDN Issues due to network misconfiguration, leading to service inconsistency.",Critical issue in CDN Issues causing client dissatisfaction.,104,2024-10-03 03:23:05,,High
53429721,6,"System encountered unexpected outages in Caching Problems, resulting in client dissatisfaction.","Service disruption in Caching Problems due to network misconfiguration, leading to revenue loss.",Error reported in Caching Problems: data corruption. Impact on critical operations observed.,Error reported in Caching Problems: high latency. Impact on end-user experience observed.,Moderate disruption observed in Caching Problems due to service downtime.,105,2024-10-07 05:20:03,2024-10-24 02:20:11,Medium
50979628,9,"Operational downtime in Image Loading Issues traced to unauthorized access, causing revenue loss.","Service disruption in Image Loading Issues due to network misconfiguration, leading to client dissatisfaction.",Error reported in Image Loading Issues: unexpected outages. Impact on service reliability observed.,"Operational downtime in Image Loading Issues traced to unauthorized access, causing service inconsistency.",Minimal impact caused by resource overload in Image Loading Issues.,106,2024-10-17 11:09:49,2024-10-09 22:30:17,Low
85333890,3,"User reported Broken Links issue causing client dissatisfaction, impacting user satisfaction and business operations.","System encountered high latency in Broken Links, resulting in service inconsistency.","Service disruption in Broken Links due to network misconfiguration, leading to business disruption.","Service disruption in Broken Links due to resource overload, leading to service inconsistency.",Minimal impact caused by service downtime in Broken Links.,107,2024-10-10 01:25:25,2024-10-06 19:01:09,Low
36152143,10,"Operational downtime in CSS Not Loading traced to service downtime, causing business disruption.",Error reported in CSS Not Loading: high latency. Impact on critical operations observed.,"Operational downtime in CSS Not Loading traced to unauthorized access, causing business disruption.","User reported CSS Not Loading issue causing service inconsistency, impacting user satisfaction and business operations.",Minimal impact caused by resource overload in CSS Not Loading.,108,2024-10-26 12:10:07,,Low
12452575,1,"System encountered frequent errors in JavaScript Errors, resulting in business disruption.","User reported JavaScript Errors issue causing client dissatisfaction, impacting user satisfaction and business operations.","User reported JavaScript Errors issue causing business disruption, impacting user satisfaction and business operations.","User reported JavaScript Errors issue causing business disruption, impacting user satisfaction and business operations.",Moderate disruption observed in JavaScript Errors due to service downtime.,109,2024-10-14 10:05:37,2024-10-20 12:11:30,Medium
77594219,1,"User reported Third-Party Script Issues issue causing revenue loss, impacting user satisfaction and business operations.","Performance degradation observed in Third-Party Script Issues with high CPU usage, requiring immediate attention.","Service disruption in Third-Party Script Issues due to network misconfiguration, leading to service inconsistency.","Service disruption in Third-Party Script Issues due to network misconfiguration, leading to service inconsistency.",Critical issue in Third-Party Script Issues causing client dissatisfaction.,110,2024-10-13 00:00:02,,High
